Date,Open,High,Low,Close,Adj Close,Volume
19/12/2019,2.69,2.73,2.61,2.62,2.62,36301300
20/12/2019,2.65,2.72,2.63,2.69,2.69,50971500
23/12/2019,2.74,2.76,2.65,2.67,2.67,28571900
24/12/2019,2.63,2.63,2.45,2.53,2.53,32029800
26/12/2019,2.45,2.52,2.35,2.51,2.51,44173700
27/12/2019,2.54,2.55,2.41,2.42,2.42,37553300
30/12/2019,2.92,4.87,2.88,3.72,3.72,432720700
31/12/2019,4.15,4.42,3.82,4.02,4.02,215008600
02/01/2020,4.1,4.1,3.61,3.72,3.72,103740100
03/01/2020,3.5,3.9,3.48,3.83,3.83,82892400
06/01/2020,4.19,4.24,3.66,3.68,3.68,106619700
07/01/2020,3.7,3.73,3.21,3.24,3.24,106336400
08/01/2020,3.14,3.49,3.13,3.39,3.39,65118100
09/01/2020,3.44,3.58,3.33,3.46,3.46,54644200
10/01/2020,3.49,3.58,3.4,3.51,3.51,35626700
13/01/2020,3.71,3.73,3.52,3.7,3.7,59752700
14/01/2020,3.7,3.82,3.61,3.76,3.76,55194000
15/01/2020,4.19,4.48,4,4.29,4.29,236357900
16/01/2020,3.99,4.4,3.91,4.37,4.37,97941700
17/01/2020,4.51,4.71,4.46,4.67,4.67,109601300
21/01/2020,4.6,5.29,4.52,5.17,5.17,181423600
22/01/2020,5.42,5.65,4.69,4.79,4.79,207132700
23/01/2020,4.57,4.95,4.31,4.92,4.92,102535300
24/01/2020,5,5.06,4.51,4.66,4.66,65538000
27/01/2020,3.99,4.35,3.84,4.01,4.01,102028700
28/01/2020,4.25,4.27,4.03,4.21,4.21,48979100
29/01/2020,4.23,4.33,4.02,4.27,4.27,53844300
30/01/2020,4.24,4.38,4.01,4.08,4.08,75009800
31/01/2020,4.02,4.04,3.67,3.78,3.78,77923200
03/02/2020,3.54,4.11,3.52,4.06,4.06,74051600
04/02/2020,4.29,4.7,4.16,4.51,4.51,123640400
05/02/2020,4.37,4.48,4.13,4.39,4.39,73632500
06/02/2020,4.2,4.33,4.05,4.08,4.08,75641200
07/02/2020,4.02,4.02,3.74,3.81,3.81,80780700
10/02/2020,3.67,3.91,3.62,3.87,3.87,67157700
11/02/2020,3.83,4.05,3.8,3.96,3.96,54097100
12/02/2020,4,4.2,3.98,4.07,4.07,50975300
13/02/2020,3.95,4.05,3.86,4.03,4.03,42411200
14/02/2020,4.02,4.04,3.75,3.77,3.77,69655600
18/02/2020,3.9,3.98,3.76,3.8,3.8,47700900
19/02/2020,3.93,4.1,3.86,4.08,4.08,73256300
20/02/2020,4.1,4.4,4.01,4.26,4.26,86873500
21/02/2020,4.2,4.2,4.02,4.08,4.08,40425900
24/02/2020,3.79,3.94,3.76,3.88,3.88,56247100
25/02/2020,5.18,5.19,4.24,4.4,4.4,206259400
26/02/2020,4.5,4.71,4.3,4.34,4.34,69558500
27/02/2020,4.09,4.3,3.92,4.14,4.14,77846700
28/02/2020,3.96,4.14,3.87,4.13,4.13,63782000
02/03/2020,4.15,4.19,3.9,4.11,4.11,56063200
03/03/2020,4.08,4.21,3.95,4.06,4.06,47644500
04/03/2020,4.03,4.07,3.77,3.87,3.87,49465800
05/03/2020,3.78,3.89,3.68,3.72,3.72,72697800
06/03/2020,3.62,3.66,3.42,3.55,3.55,61238100
09/03/2020,3.01,3.54,2.99,3.29,3.29,55305300
10/03/2020,3.49,3.54,3.29,3.5,3.5,34928400
